date,title,artist,peak_pos,last_week,weeks,rank,change,spotifyLink,spotifyID,videoLink,all_genre,main_genre
2019-03-23,What Makes You Country,luke bryan,41,64,9,90,,,,,"[u'contemporary country', u'country', u'country road']",[u'country road']
2019-03-23,Flaws And Sins,juice wrld,80,98,5,91,,,,,"[u'chicago rap', u'melodic rap']",[u'melodic rap']
2019-03-23,Nights Like This,kehlani,64,93,20,95,,,,,"[u'alternative r&b', u'dance pop', u'pop', u'pop rap', u'post-teen pop', u'r&b', u'rap', u'urban contemporary']",[u'urban contemporary']
2019-03-23,Always Remember Us This Way,lady gaga,NA,,NA,100,,,,,"[u'dance pop', u'pop']",[u'pop']
2019-03-30,Sally Walker,iggy azalea,42,55,15,62,,,,,"[u'australian hip hop', u'dance pop', u'hip pop', u'pop', u'pop rap', u'post-teen pop']",[u'post-teen pop']
2019-03-30,Ella Quiere Beber,anuel aa,85,86,5,83,,,,,"[u'latin', u'reggaeton flow', u'trap latino']",[u'trap latino']
2019-03-30,Fast,juice wrld,88,88,2,86,,,,,"[u'chicago rap', u'melodic rap']",[u'melodic rap']
2019-03-30,Slow Dancing In The Dark,joji,77,77,2,96,,,,,"[u'alternative r&b', u'pop', u'viral pop']",[u'viral pop']
2019-04-06,I Like It,"cardi b, bad bunny",1,44,51,45,,,,,,unknown
2019-04-06,Lucid Dreams,juice wrld,2,40,46,47,,,,,"[u'chicago rap', u'melodic rap']",[u'melodic rap']
2019-04-06,Taki Taki,dj snake,11,42,26,48,,,,,[u'electronic trap'],[u'electronic trap']
2019-04-06,Down To The Honkytonk,jake owen,65,81,13,65,,,,,"[u'contemporary country', u'country', u'country road', u'modern country rock']",[u'modern country rock']
2019-04-06,Price On My Head,nav,57,70,8,72,,,,,"[u'canadian hip hop', u'melodic rap', u'pop rap', u'rap', u'toronto rap', u'trap']",[u'trap']
2019-04-06,Confessions Of A Dangerous Mind,logic,80,-,5,78,,,,,"[u'conscious hip hop', u'dmv rap', u'hip hop', u'pop rap', u'rap']",[u'rap']
2019-04-06,Take It From Me,jordan davis,81,85,6,79,,,,,[u'contemporary country'],[u'contemporary country']
2019-04-06,Splashin,rich the kid,39,71,4,80,,,,,"[u'atl hip hop', u'hip hop', u'melodic rap', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-04-06,I,lil skies,59,87,4,82,,,,,"[u'melodic rap', u'rap', u'trap']",[u'trap']
2019-04-06,Hear Me Calling,juice wrld,80,93,6,86,,,,,"[u'chicago rap', u'melodic rap']",[u'melodic rap']
2019-04-06,Undecided,chris brown,46,92,17,91,,,,,"[u'dance pop', u'pop', u'pop rap', u'r&b', u'rap']",[u'rap']
2019-04-06,Calling My Spirit,kodak black,83,100,10,94,,,,,"[u'florida rap', u'hip hop', u'melodic rap', u'miami hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-04-06,Last Hurrah,bebe rexha,NA,,NA,98,,,,,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop']
2019-04-06,Empty,juice wrld,NA,,NA,99,,,,,"[u'chicago rap', u'melodic rap']",[u'melodic rap']
2019-04-06,Love Wins,carrie underwood,NA,,NA,100,,,,,"[u'contemporary country', u'country', u'country dawn', u'dance pop', u'oklahoma country', u'pop', u'post-teen pop']",[u'post-teen pop']
2019-04-13,ZEZE,kodak black,53,53,4,49,,,,,"[u'florida rap', u'hip hop', u'melodic rap', u'miami hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-04-13,I Love You,billie eilish,55,55,7,53,,,,,"[u'electropop', u'pop']",[u'pop']
2019-04-13,Ilomilo,billie eilish,73,74,14,62,,,,,"[u'electropop', u'pop']",[u'pop']
2019-04-13,Listen Before I Go,billie eilish,52,69,5,63,,,,,"[u'electropop', u'pop']",[u'pop']
2019-04-13,8,billie eilish,94,-,7,79,,,,,"[u'electropop', u'pop']",[u'pop']
